id,sentence,sense_keys,glosses,target
d001.s000.t010,"Medical scientists are starting to uncover a handful of genes which , if damaged , unleash the chaotic growth of cells that [TGT] characterizes [TGT] cancer .","['characterize%2:32:00::', 'characterize%2:42:01::']","['describe or portray the character or the qualities or peculiarities of', 'be characteristic of']",[1]
d001.s000.t011,"Medical scientists are starting to uncover a handful of genes which , if damaged , unleash the chaotic growth of cells that characterizes [TGT] cancer [TGT] .","['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
d001.s001.t000,[TGT] Scientists [TGT] say the discovery of these genes in recent months is painting a new and startling picture of how cancer develops .,['scientist%1:18:00::'],['a person with advanced knowledge of one or more sciences'],[0]
d001.s001.t001,Scientists [TGT] say [TGT] the discovery of these genes in recent months is painting a new and startling picture of how cancer develops .,"['say%2:32:02::', 'say%2:42:00::', 'say%2:32:01::', 'say%2:32:04::', 'say%2:32:13::', 'say%2:32:15::', 'say%2:32:07::', 'say%2:32:09::', 'say%2:32:03::', 'say%2:32:00::', 'say%2:32:08::']","['speak, pronounce, or utter in a certain way', 'have or contain a certain wording or form', 'report or maintain', 'give instructions to or direct somebody to do something with authority', ""state as one's opinion or judgement; declare"", 'utter aloud', 'communicate or express nonverbally', 'indicate', 'express a supposition', 'express in words', 'recite or repeat a fixed text']",[2]
d001.s001.t002,Scientists say the [TGT] discovery [TGT] of these genes in recent months is painting a new and startling picture of how cancer develops .,"['discovery%1:04:00::', 'discovery%1:10:01::', 'discovery%1:10:00::', 'discovery%1:09:00::']","['the act of discovering something', '(law) compulsory pretrial disclosure of documents relevant to a case; enables one side in a litigation to elicit information from the other side concerning the facts in the case', 'something that is discovered', 'a productive insight']","[0, 3]"
d001.s001.t003,Scientists say the discovery of these [TGT] genes [TGT] in recent months is painting a new and startling picture of how cancer develops .,['gene%1:08:00::'],['(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity'],[0]
d001.s001.t004,Scientists say the discovery of these genes in [TGT] recent [TGT] months is painting a new and startling picture of how cancer develops .,"['recent%5:00:00:new:00', 'recent%5:00:00:past:00']","['new', 'of the immediate past or just previous to the present time']",[1]
d001.s001.t005,Scientists say the discovery of these genes in recent [TGT] months [TGT] is painting a new and startling picture of how cancer develops .,"['month%1:28:01::', 'month%1:28:00::']","['one of the twelve divisions of the calendar year', 'a time unit of approximately 30 days']",[0]
d001.s001.t006,Scientists say the discovery of these genes in recent months is [TGT] painting [TGT] a new and startling picture of how cancer develops .,['paint_a_picture%2:32:00::'],['call to mind'],[0]
d001.s001.t007,Scientists say the discovery of these genes in recent months is painting a [TGT] new [TGT] and startling picture of how cancer develops .,"['new%3:00:09::', 'new%5:00:00:original:00', 'new%5:00:00:other:00', 'new%5:00:00:unprecedented:00', 'new%5:00:00:unaccustomed:00', 'new%5:00:02:original:00', 'new%3:00:00::', 'new%5:00:00:early:02', 'new%5:00:01:late:01', 'new%5:00:00:inexperienced:00', 'new%5:00:02:late:01']","['unaffected by use or exposure', 'original and of a kind not seen before', 'other than the former one(s); different', 'having no previous example or precedent or parallel', 'unfamiliar', '(of a new kind or fashion) gratuitously new', 'not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered', '(of crops) harvested at an early stage of development; before complete maturity', 'used of a living language; being the current stage in its development', 'lacking training or experience', 'in use after medieval times']",[1]
d001.s001.t008,Scientists say the discovery of these genes in recent months is painting a new and [TGT] startling [TGT] picture of how cancer develops .,['startling%5:00:00:surprising:00'],['so remarkably different or sudden as to cause momentary shock or alarm'],[0]
d001.s001.t009,Scientists say the discovery of these genes in recent months is painting a new and startling picture of how [TGT] cancer [TGT] develops .,"['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
d001.s001.t010,Scientists say the discovery of these genes in recent months is painting a new and startling picture of how cancer [TGT] develops [TGT] .,"['develop%2:30:13::', 'develop%2:31:00::', 'develop%2:36:01::', 'develop%2:36:09::', 'develop%2:30:05::', 'develop%2:30:10::', 'develop%2:29:00::', 'develop%2:30:12::', 'develop%2:30:06::', 'develop%2:42:00::', 'develop%2:30:00::', 'develop%2:30:03::', 'develop%2:30:09::', 'develop%2:36:00::', 'develop%2:33:03::', 'develop%2:33:02::', 'develop%2:30:04::', 'develop%2:35:04::', 'develop%2:32:00::', 'develop%2:30:01::', 'develop%2:39:00::']","['elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme', 'create by training and teaching', 'make something new, such as a product or a mental or artistic creation', 'generate gradually', 'be gradually disclosed or unfolded; become manifest', 'grow emotionally or mature', 'come to have or undergo a change of (physical features and attributes)', 'expand in the form of a series', 'gain through experience', 'come into existence; take on form or shape', 'grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment', 'happen', 'become technologically advanced', 'work out', ""move one's pieces into strategically more advantageous positions"", 'move into a strategically more advantageous position', 'change the use of and make available or usable', 'superimpose a three-dimensional surface on a plane without stretching, in geometry', 'elaborate, as of theories and hypotheses', 'cause to grow and differentiate in ways conforming to its natural development', 'make visible by means of chemical solutions']",[10]
d001.s002.t000,An [TGT] emerging [TGT] understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,"['emerge%2:30:01::', 'emerge%2:38:00::', 'emerge%2:30:00::', 'emerge%2:42:00::', 'emerge%2:30:02::']","['become known or apparent', 'come up to the surface of or rise', 'come out into view, as from concealment', 'happen or occur as a result of something', 'come out of']",[1]
d001.s002.t001,An emerging [TGT] understanding [TGT] of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,"['understanding%1:10:00::', 'understanding%1:09:03::', 'understanding%1:09:01::', 'understanding%1:09:00::']","['the statement (oral or written) of an exchange of promises', 'an inclination to support or be loyal to or to agree with an opinion', 'the cognitive condition of someone who understands', 'the capacity for rational thought or inference or discrimination']",[2]
d001.s002.t002,An emerging understanding of the [TGT] genes [TGT] is expected to produce an array of new strategies for future cancer treatment and prevention .,['gene%1:08:00::'],['(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity'],[0]
d001.s002.t003,An emerging understanding of the genes is [TGT] expected [TGT] to produce an array of new strategies for future cancer treatment and prevention .,"['expect%2:29:00::', 'expect%2:31:05::', 'expect%2:29:02::', 'expect%2:31:00::', 'expect%2:31:01::', 'expect%2:32:00::']","['be pregnant with', 'consider reasonable or due', 'look forward to the birth of a child', 'regard something as probable or likely', 'look forward to the probable occurrence of', 'consider obligatory; request and expect']",[3]
d001.s002.t004,An emerging understanding of the genes is expected to [TGT] produce [TGT] an array of new strategies for future cancer treatment and prevention .,"['produce%2:29:00::', 'produce%2:36:05::', 'produce%2:39:00::', 'produce%2:36:00::', 'produce%2:39:01::', 'produce%2:36:02::', 'produce%2:36:03::']","['come to have or undergo a change of (physical features and attributes)', 'cultivate by growing, often involving improvements by means of agricultural techniques', 'bring onto the market or release', 'create or manufacture a man-made product', 'bring out for display', 'bring forth or yield', 'cause to happen, occur or exist']",[6]
d001.s002.t005,An emerging understanding of the genes is expected to produce an [TGT] array [TGT] of new strategies for future cancer treatment and prevention .,"['array%1:06:00::', 'array%1:06:01::', 'array%1:14:00::', 'array%1:10:00::']","['an arrangement of aerials spaced to give desired directional characteristics', 'especially fine or decorative clothing', 'an orderly arrangement', 'an impressive display']",[3]
d001.s002.t006,An emerging understanding of the genes is expected to produce an array of [TGT] new [TGT] strategies for future cancer treatment and prevention .,"['new%3:00:09::', 'new%5:00:00:original:00', 'new%5:00:00:other:00', 'new%5:00:00:unprecedented:00', 'new%5:00:00:unaccustomed:00', 'new%5:00:02:original:00', 'new%3:00:00::', 'new%5:00:00:early:02', 'new%5:00:01:late:01', 'new%5:00:00:inexperienced:00', 'new%5:00:02:late:01']","['unaffected by use or exposure', 'original and of a kind not seen before', 'other than the former one(s); different', 'having no previous example or precedent or parallel', 'unfamiliar', '(of a new kind or fashion) gratuitously new', 'not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered', '(of crops) harvested at an early stage of development; before complete maturity', 'used of a living language; being the current stage in its development', 'lacking training or experience', 'in use after medieval times']","[1, 2]"
d001.s002.t007,An emerging understanding of the genes is expected to produce an array of new [TGT] strategies [TGT] for future cancer treatment and prevention .,"['strategy%1:09:01::', 'strategy%1:09:00::']","['the branch of military science dealing with military command and the planning and conduct of a war', 'an elaborate and systematic plan of action']",[1]
d001.s002.t008,An emerging understanding of the genes is expected to produce an array of new strategies for [TGT] future [TGT] cancer treatment and prevention .,"['future%3:01:00::', 'future%3:00:00::', 'future%5:00:00:incoming:00', 'future%5:00:00:prospective:00']","['a verb tense or other formation referring to events or states that have not yet happened', 'yet to be or coming', '(of elected officers) elected but not yet serving', 'effective in or looking toward the future']","[3, 1]"
d001.s002.t009,An emerging understanding of the genes is expected to produce an array of new strategies for future [TGT] cancer [TGT] treatment and prevention .,"['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
d001.s002.t010,An emerging understanding of the genes is expected to produce an array of new strategies for future cancer [TGT] treatment [TGT] and prevention .,"['treatment%1:10:00::', 'treatment%1:07:00::', 'treatment%1:04:01::', 'treatment%1:04:00::']","['an extended communication (often interactive) dealing with some particular topic', 'a manner of dealing with something artistically', 'the management of someone or something', 'care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)']",[3]
d001.s002.t011,An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and [TGT] prevention [TGT] .,['prevention%1:04:00::'],['the act of preventing'],[0]
d001.s003.t000,That is for the [TGT] future [TGT] .,"['future%1:10:00::', 'future%1:06:00::', 'future%1:28:00::']","['a verb tense that expresses actions or states in the future', 'bulk commodities bought or sold at an agreed price for delivery at a specified future date', 'the time yet to come']",[2]
d001.s004.t000,"[TGT] Already [TGT] , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .",['already%4:02:00::'],['prior to a specified or implied time'],[0]
d001.s004.t001,"Already , [TGT] scientists [TGT] are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .",['scientist%1:18:00::'],['a person with advanced knowledge of one or more sciences'],[0]
d001.s004.t002,"Already , scientists are [TGT] developing [TGT] tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","['develop%2:30:13::', 'develop%2:31:00::', 'develop%2:36:01::', 'develop%2:36:09::', 'develop%2:30:05::', 'develop%2:30:10::', 'develop%2:29:00::', 'develop%2:30:12::', 'develop%2:30:06::', 'develop%2:42:00::', 'develop%2:30:00::', 'develop%2:30:03::', 'develop%2:30:09::', 'develop%2:36:00::', 'develop%2:33:03::', 'develop%2:33:02::', 'develop%2:30:04::', 'develop%2:35:04::', 'develop%2:32:00::', 'develop%2:30:01::', 'develop%2:39:00::']","['elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme', 'create by training and teaching', 'make something new, such as a product or a mental or artistic creation', 'generate gradually', 'be gradually disclosed or unfolded; become manifest', 'grow emotionally or mature', 'come to have or undergo a change of (physical features and attributes)', 'expand in the form of a series', 'gain through experience', 'come into existence; take on form or shape', 'grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment', 'happen', 'become technologically advanced', 'work out', ""move one's pieces into strategically more advantageous positions"", 'move into a strategically more advantageous position', 'change the use of and make available or usable', 'superimpose a three-dimensional surface on a plane without stretching, in geometry', 'elaborate, as of theories and hypotheses', 'cause to grow and differentiate in ways conforming to its natural development', 'make visible by means of chemical solutions']",[2]
d001.s004.t003,"Already , scientists are developing [TGT] tests [TGT] based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","['test%1:10:00::', 'test%1:04:03::', 'test%1:05:00::', 'test%1:09:02::', 'test%1:04:00::', 'test%1:04:02::']","['a set of questions or exercises evaluating skill or knowledge', 'the act of undergoing testing', 'a hard outer covering as of some amoebas and sea urchins', 'trying something to find out about it', 'the act of testing something', 'any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc']","[4, 3]"
d001.s004.t004,"Already , scientists are developing tests [TGT] based [TGT] on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","['base%2:42:04::', 'base%2:34:00::', 'base%2:31:00::']","['situate as a center of operations', 'use (purified cocaine) by burning it and inhaling the fumes', 'use as a basis for; found on']",[2]
d001.s004.t005,"Already , scientists are developing tests based on the [TGT] newly [TGT] identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .",['newly%4:02:00::'],['very recently'],[0]
d001.s004.t006,"Already , scientists are developing tests based on the newly [TGT] identified [TGT] genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","['identify%2:32:00::', 'identify%2:31:03::', 'identify%2:31:04::', 'identify%2:31:00::', 'identify%2:31:02::', 'identify%2:31:01::']","['give the name or identifying characteristics of; refer to by name or some other identifying characteristic property', 'conceive of as united or associated', 'consider (oneself) as similar to somebody else', 'recognize as being; establish the identity of someone or something', 'consider to be equal or the same', 'identify as in botany or biology, for example']",[5]
d001.s004.t007,"Already , scientists are developing tests based on the newly identified [TGT] genes [TGT] that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .",['gene%1:08:00::'],['(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity'],[0]
d001.s004.t008,"Already , scientists are developing tests based on the newly identified genes that , for the [TGT] first [TGT] time , can predict whether an otherwise healthy individual is likely to get cancer .","['first%5:00:00:best:00', 'first%5:00:00:ordinal:00', 'first%3:00:03::', 'first%3:00:00::', 'first%5:00:01:opening:00', 'first%5:00:02:opening:00']","['ranking above all others', 'indicating the beginning unit in a series', 'highest in pitch or chief among parts or voices or instruments or orchestra sections', 'preceding all others in time or space or degree', 'serving to begin', 'serving to set in motion']","[5, 3]"
d001.s004.t009,"Already , scientists are developing tests based on the newly identified genes that , for the first [TGT] time [TGT] , can predict whether an otherwise healthy individual is likely to get cancer .","['time%1:28:05::', 'time%1:03:00::', 'time%1:07:01::', 'time%1:28:00::', 'time%1:28:01::', 'time%1:28:06::', 'time%1:11:00::', 'time%1:28:04::', 'time%1:28:03::', 'time%1:11:01::']","['a period of time considered as a resource under your control and sufficient to accomplish something', 'the continuum of experience in which events pass from the future through the present to the past', 'rhythm as given by division into parts of equal duration', 'an indefinite period (usually marked by specific attributes or activities)', 'the period of time a prisoner is imprisoned', 'a suitable moment', 'an instance or single occasion for some event', 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event', 'a reading of a point in time as given by a clock', ""a person's experience on a particular occasion""]",[6]
d001.s004.t010,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can [TGT] predict [TGT] whether an otherwise healthy individual is likely to get cancer .","['predict%2:32:00::', 'predict%2:32:01::']","['make a prediction about; tell in advance', 'indicate by signs']",[1]
d001.s004.t011,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an [TGT] otherwise [TGT] healthy individual is likely to get cancer .","['otherwise%4:02:01::', 'otherwise%4:02:03::']","['in other respects or ways', 'in another and different manner']",[0]
d001.s004.t012,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise [TGT] healthy [TGT] individual is likely to get cancer .","['healthy%5:00:00:considerable:00', 'healthy%5:00:00:wholesome:00', 'healthy%5:00:00:sound:00', 'healthy%5:00:00:reasonable:00', 'healthy%3:00:00::']","['large in amount or extent or degree', 'promoting health; healthful; ; ; ; ; - C.B.Davis', 'financially secure and functioning well', 'exercising or showing good judgment', 'having or indicating good health in body or mind; free from infirmity or disease']",[4]
d001.s004.t013,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy [TGT] individual [TGT] is likely to get cancer .","['individual%1:03:00::', 'individual%1:18:00::']","['a human being', 'a single organism']",[0]
d001.s004.t014,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is [TGT] likely [TGT] to get cancer .","['likely%5:00:00:prospective:00', 'likely%5:00:00:credible:00', 'likely%3:00:00::', 'likely%3:00:04::']","['expected to become or be; in prospect', 'within the realm of credibility', 'has a good chance of being the case or of coming about', 'likely but not certain to be or become true or real']",[2]
d001.s004.t015,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to [TGT] get [TGT] cancer .","['get%2:39:13::', 'get%2:38:12::', 'get%2:35:10::', 'get%2:37:11::', 'get%2:30:12::', 'get%2:40:01::', 'get%2:30:03::', 'get%2:38:15::', 'get%2:40:00::', 'get%2:38:00::', 'get%2:32:00::', 'get%2:31:10::', 'get%2:29:08::', 'get%2:33:00::', 'get%2:29:01::', 'get%2:40:14::', 'get%2:31:09::', 'get%2:32:08::', 'get%2:32:03::', 'get%2:37:12::', 'get%2:35:03::', 'get%2:30:01::', 'get%2:35:09::', 'get%2:35:00::', 'get%2:39:09::', 'get%2:31:03::', 'get%2:36:00::', 'get%2:35:12::', 'get%2:29:11::', 'get%2:39:14::', 'get%2:36:14::', 'get%2:30:00::', 'get%2:39:00::', 'get%2:40:13::', 'get%2:30:02::', 'get%2:29:00::']","['perceive by hearing', 'reach and board', 'reach with a blow or hit in a particular spot', 'evoke an emotional response', 'take the first step or steps in carrying out an action', 'achieve a point or goal', 'receive a specified treatment (abstract)', 'leave immediately; used usually in the imperative form', 'come into the possession of something concrete or abstract', 'reach a destination; arrive by movement or progress', 'cause to do; cause to act in a specified manner', 'be a mystery or bewildering to', 'make children', 'take vengeance on or get even', 'come to have or undergo a change of (physical features and attributes)', 'acquire as a result of some effort or action', 'grasp with the mind or develop an understanding of', 'move into a desired direction of discourse', 'communicate with a place or person; establish communication with, as if by telephone', 'irritate', 'go or come after and bring or take back', 'give certain properties to something', 'succeed in catching or seizing, especially after a chase', 'attract and fix', 'suffer from the receipt of', 'reach by calculation', 'earn or achieve a base by being walked by the pitcher', 'overcome or destroy', 'undergo (as of injuries and illnesses)', 'receive as a retribution or punishment', 'apprehend and reproduce accurately', 'enter or assume a certain state or condition', 'go through (mental or physical states or experiences)', 'purchase', 'cause to move; cause to be in a certain position or condition', 'be stricken by an illness, fall victim to an illness']",[35]
d001.s004.t016,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get [TGT] cancer [TGT] .","['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
d001.s005.t000,"`` It 's a super-exciting [TGT] set [TGT] of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","['set%1:14:01::', 'set%1:28:00::', 'set%1:22:00::', 'set%1:04:01::', 'set%1:14:02::', 'set%1:04:00::', 'set%1:06:00::', 'set%1:11:00::', 'set%1:09:01::', 'set%1:14:00::', 'set%1:09:00::', 'set%1:18:00::', 'set%1:06:01::']","['an unofficial association of people or groups', 'a unit of play in tennis or squash', 'the process of becoming hard or solid by cooling or drying or crystallization', 'the act of putting something in position', '(mathematics) an abstract collection of numbers or symbols', 'several exercises intended to be done in series', 'representation consisting of the scenery and other properties used to identify the location of a dramatic production', 'the descent of a heavenly body below the horizon', 'a relatively permanent inclination to react in a particular way', 'a group of things of the same kind that belong together and are so used', '(psychology) being temporarily ready to respond in a particular way', 'evil Egyptian god with the head of a beast that has high square ears and a long snout; brother and murderer of Osiris', 'any electronic equipment that receives or transmits radio or tv signals']",[9]
d001.s005.t001,"`` It 's a super-exciting set of [TGT] discoveries [TGT] , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","['discovery%1:04:00::', 'discovery%1:10:01::', 'discovery%1:10:00::', 'discovery%1:09:00::']","['the act of discovering something', '(law) compulsory pretrial disclosure of documents relevant to a case; enables one side in a litigation to elicit information from the other side concerning the facts in the case', 'something that is discovered', 'a productive insight']","[0, 3]"
d001.s005.t002,"`` It 's a super-exciting set of discoveries , `` [TGT] says [TGT] Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","['say%2:32:02::', 'say%2:42:00::', 'say%2:32:01::', 'say%2:32:04::', 'say%2:32:13::', 'say%2:32:15::', 'say%2:32:07::', 'say%2:32:09::', 'say%2:32:03::', 'say%2:32:00::', 'say%2:32:08::']","['speak, pronounce, or utter in a certain way', 'have or contain a certain wording or form', 'report or maintain', 'give instructions to or direct somebody to do something with authority', ""state as one's opinion or judgement; declare"", 'utter aloud', 'communicate or express nonverbally', 'indicate', 'express a supposition', 'express in words', 'recite or repeat a fixed text']",[5]
d001.s005.t003,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University [TGT] researcher [TGT] who has just found a gene pivotal to the triggering of colon cancer .",['researcher%1:18:00::'],['a scientist who devotes himself to doing research'],[0]
d001.s005.t004,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has [TGT] just [TGT] found a gene pivotal to the triggering of colon cancer .","['just%4:02:03::', 'just%4:02:01::', 'just%4:02:00::', 'just%4:02:06::', 'just%4:02:04::', 'just%4:02:05::']","['absolutely', 'only a moment ago', 'and nothing more', 'exactly at this moment or the moment described', 'only a very short time before; ; ; ; ; - W.B.Yeats', 'indicating exactness or preciseness']",[1]
d001.s005.t005,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just [TGT] found [TGT] a gene pivotal to the triggering of colon cancer .","['find%2:31:10::', 'find%2:40:15::', 'find%2:39:02::', 'find%2:39:01::', 'find%2:31:09::', 'find%2:30:00::', 'find%2:38:10::', 'find%2:30:13::', 'find%2:40:00::', 'find%2:32:00::', 'find%2:40:02::', 'find%2:40:03::', 'find%2:36:00::', 'find%2:32:01::', 'find%2:39:05::', 'find%2:40:01::']","['come to believe on the basis of emotion, intuitions, or indefinite grounds', 'get or find back; recover the use of', 'discover or determine the existence, presence, or fact of', 'perceive or be contemporaneous with', 'make a discovery', 'receive a specified treatment (abstract)', 'succeed in reaching; arrive at', ""accept and make use of one's personality, abilities, and situation"", 'come upon after searching; find the location of something that was missed or lost', 'establish after a calculation, investigation, experiment, survey, or study', 'come upon, as if by accident; meet with', 'obtain through effort or management', 'make a discovery, make a new finding', 'decide on and make a declaration about', 'perceive oneself to be in a certain condition or place', 'get something or somebody for a specific purpose']",[12]
d001.s005.t006,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a [TGT] gene [TGT] pivotal to the triggering of colon cancer .",['gene%1:08:00::'],['(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity'],[0]
d001.s005.t007,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene [TGT] pivotal [TGT] to the triggering of colon cancer .",['pivotal%5:00:00:crucial:00'],['being of crucial importance; ; - Henry Kissinger'],[0]
d001.s005.t008,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the [TGT] triggering [TGT] of colon cancer .","['trigger%2:36:00::', 'trigger%2:33:00::']","['put in motion or move to act', 'release or pull the trigger on']",[0]
d001.s005.t009,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of [TGT] colon [TGT] cancer .","['colon%1:15:00::', 'colon%1:23:01::', 'colon%1:23:00::', 'colon%1:10:00::', 'colon%1:08:00::']","['a port city at the Caribbean entrance to the Panama Canal', 'the basic unit of money in El Salvador; equal to 100 centavos', 'the basic unit of money in Costa Rica; equal to 100 centimos', 'a punctuation mark (:) used after a word introducing a series or an example or an explanation (or after the salutation of a business letter)', 'the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted']",[4]
d001.s005.t010,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon [TGT] cancer [TGT] .","['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
d001.s006.t000,`` [TGT] Only [TGT] a decade ago cancer was a black box about which we knew nothing at the molecular level .,"['only%4:02:00::', 'only%4:02:03::', 'only%4:02:04::', 'only%4:02:05::', 'only%4:02:02::', 'only%4:02:06::', 'only%4:02:01::']","['with nevertheless the final result', 'never except when', 'in the final outcome', 'as recently as', 'and nothing more', 'except that', 'without any others being included or involved']",[3]
d001.s006.t001,`` Only a [TGT] decade [TGT] ago cancer was a black box about which we knew nothing at the molecular level .,"['decade%1:28:00::', 'decade%1:23:00::']","['a period of 10 years', 'the cardinal number that is the sum of nine and one; the base of the decimal system']",[0]
d001.s006.t002,`` Only a decade [TGT] ago [TGT] cancer was a black box about which we knew nothing at the molecular level .,['ago%4:02:00::'],['in the past'],[0]
d001.s006.t003,`` Only a decade ago [TGT] cancer [TGT] was a black box about which we knew nothing at the molecular level .,"['cancer%1:17:00::', 'cancer%1:26:00::', 'cancer%1:18:00::', 'cancer%1:15:00::', 'cancer%1:05:00::']","['a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', '(astrology) a person who is born while the sun is in Cancer', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', 'type genus of the family Cancridae']",[1]
